Sound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
,,,,,,space,42.3881578445,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,0,0,0,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,0,1,1,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,1,0,2,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,1,1,3,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,2,0,4,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,2,1,5,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,3,0,6,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,3,1,7,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,4,0,8,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,4,1,9,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,5,0,10,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,5,1,11,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,6,0,12,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,6,1,13,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,7,0,14,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,7,1,15,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,8,0,16,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,8,1,17,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart60.wav,60,9,0,18,1,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
heart120.wav,120,9,1,19,0,,,,,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
,,,,,,,,space,2.61950802803,2018_Oct_22_1515,60.2794441011,HeartBeat1,001,,
