pic,sound,c1,c2,c3,c4,answerNum,answer,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.keys,intro.rt,Answer1.keys,Answer1.rt,EmpAnswer.keys,EmpAnswer.rt,EndKey.keys,EndKey.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,1.14033389091,,,,,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes1.png,heart120_1.wav,playful,comforting,irritated,bored,1,playful,120',0,0,0,0,,,2,1.75022506714,2,1.36887097359,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes3.png,silence.wav,joking,flustered,desire,convinced,3,desire,Silence,0,1,1,1,,,2,1.06870102882,2,33.4846799374,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes5.png,heart120_1.wav,irritated,sarcastic,worried,friendly,3,worried,120',0,2,2,2,,,2,3.15174007416,2,1.85087680817,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes6.png,heart60_2.wav,aghast,fantasizing,impatient,alarmed,2,fantasizing,60',0,3,3,3,,,2,0.901329994202,2,0.836193084717,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes7.png,silence.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,Silence,0,4,4,4,,,2,0.866816043854,2,0.432784080505,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes10.png,heart120_1.wav,cautious,insisting,bored,aghast,1,cautious,120',0,5,5,5,,,2,0.964710950851,2,0.817790985107,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes15.png,heart120_1.wav,contemplative,flustered,encouraging,amused,1,contemplative,120',0,6,6,6,,,2,2.11517596245,2,23.2680652142,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes17.png,heart60_2.wav,doubtful,affectionate,playful,aghast,1,doubtful,60',0,7,7,7,,,2,18.0616459846,2,8.58702802658,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes18.png,heart60_2.wav,amused,decisive,aghast,bored,2,decisive,60',0,8,8,8,,,2,10.7662630081,2,2.73549199104,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes20.png,silence.wav,dominant,horrified,guilty,friendly,4,friendly,Silence,0,9,9,9,,,2,6.75030112267,2,25.5874240398,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes7.png,heart60_2.wav,apologetic,friendly,uneasy,dispirited,3,uneasy,60',0,10,10,10,,,2,1.81064009666,2,22.9341959953,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
eyes17.png,heart120_1.wav,doubtful,affectionate,playful,aghast,1,doubtful,120',0,11,11,11,,,2,0.697502851486,2,9.26771497726,,,2018_Nov_19_1223,59.4078063055,HeartBeat2_2,001,,
